date,adjusted,volume,vix,g_trends,sentiment_negative,sentiment_neutral,sentiment_none,sentiment_positive,bull_bear_spread_surv,bullish_surv,neutral_surv,bearish_surv,basic_volatility,sma_20,sma_50,ema_20,atr,rsi,stochrsi,macd,macd_signal,bb_up,bb_dn,obv,adx
2015-02-10,14.419333457946776,80857500.0,17.229999542236328,12.0,0.0,0.0,1.0,0.0,0.0307169999999999,0.354949,0.320819,0.324232,0.3666667938232422,14.001433420181275,13.570893325805663,14.07448851227946,0.4718541111717896,55.82305680821291,0.7236857656412632,0.7602936228447543,-0.3817620773430772,14.995647337390222,12.430752656506264,4403905500.0,22.392600916463632
2015-02-11,14.186667442321776,146536500.0,16.959999084472656,12.0,0.0,0.0,1.0,0.0,0.0307169999999999,0.354949,0.320819,0.324232,0.4973325729370117,14.027500104904174,13.550053329467774,14.085172219902535,0.4810549636697031,51.61476283362474,0.518590152138915,0.7026918316160202,-0.1648712955512577,15.039541593709282,12.443858465037057,4257369000.0,21.61166284691772
2015-02-12,13.525333404541016,234744000.0,15.34000015258789,12.0,0.0,0.0,1.0,0.0,0.196721,0.4,0.396721,0.203279,0.6540002822875977,14.021300077438354,13.53289333343506,14.031854237487153,0.5396463506292611,41.93722727696947,0.0469453231016954,0.2762552862172196,-0.0766459791975622,15.012066680207734,12.539266747221465,4022625000.0,22.26852228063196
2015-02-13,13.584667205810549,92865000.0,14.6899995803833,12.0,0.0,0.0,1.0,0.0,0.196721,0.4,0.396721,0.203279,0.3386669158935547,14.000400066375732,13.518240013122558,13.989264996375097,0.5252906767195679,42.9703631135374,0.097296279929253,-0.0290080608307485,-0.0671183955241995,14.971146875351264,12.659519952804256,4115490000.0,22.4441648900496
2015-02-17,13.623332977294922,59694000.0,15.800000190734863,12.0,0.0,0.0,1.0,0.0,0.196721,0.4,0.396721,0.203279,0.2799997329711914,13.962466716766356,13.51165334701538,13.95441432789127,0.5077698950232552,43.67372667254172,0.1315754394937422,-0.2468702889007246,-0.1030687741995045,14.92968558017024,12.776181233489428,4175184000.0,22.607261598794544
2015-02-18,13.630666732788086,40704000.0,15.449999809265137,12.0,0.0,0.0,1.0,0.0,0.196721,0.4,0.396721,0.203279,0.2379999160766601,13.90940008163452,13.501106662750244,13.923581223595727,0.4885006108127842,43.81526758933693,0.0960367368243222,-0.41128632775006,-0.1647122849096156,14.86351078590973,12.925889410165713,4215888000.0,22.68154432923624
2015-02-19,14.11400032043457,77311500.0,15.289999961853027,12.0,0.0,0.0,1.0,0.0,0.2913909999999999,0.470199,0.350993,0.178808,0.5793342590332031,13.849666738510132,13.482653331756593,13.941716375675618,0.4949887285428141,52.31919921292935,0.5308995232772157,-0.2586046157997623,-0.1834907510876449,14.846939794459052,13.043393762669853,4293199500.0,21.773167660434574
2015-02-20,14.473999977111816,89731500.0,14.300000190734863,12.0,0.0,0.0,1.0,0.0,0.2913909999999999,0.470199,0.350993,0.178808,0.5193338394165039,13.759300041198731,13.472399997711182,13.992410052002874,0.4967276650337919,57.48124419098118,0.7948693389237925,0.0690892927220243,-0.1329747423257111,14.89551796535848,13.098082307773842,4382931000.0,20.228134070285623
2015-02-23,13.822667121887209,127497000.0,14.5600004196167,12.0,0.0,0.0,1.0,0.0,0.2913909999999999,0.470199,0.350993,0.178808,0.7913341522216797,13.671033334732057,13.470666675567626,13.976244058658525,0.5177709855472126,47.46819129906706,0.2828351088509808,-0.0464915156971557,-0.115678097,14.880354255229788,13.15357938429658,4255434000.0,19.22796994125932
2015-02-24,13.607333183288574,99054000.0,13.6899995803833,12.0,0.0,0.0,0.0,1.0,0.2913909999999999,0.470199,0.350993,0.178808,0.3726663589477539,13.580499982833862,13.46493335723877,13.941109689575672,0.5076445154622624,44.69612024162901,0.1410806125026564,-0.2598568808082624,-0.1445138537616525,14.884353143844436,13.133313768234425,4156380000.0,18.836952688603745
2015-02-25,13.583999633789062,58642500.0,13.84000015258789,12.0,0.0,0.0,1.0,0.0,0.2913909999999999,0.470199,0.350993,0.178808,0.3039999008178711,13.50533332824707,13.459146690368652,13.907099208072186,0.4930984715590916,44.393585741297024,0.1256100041257605,-0.4382014801420086,-0.2032513790377237,14.888611600313364,13.114255240049186,4097737500.0,18.473865239709287
